Date Time,ESZ8,Open,High,Low,Last,Volume,Open Interest,range,Over_50_points
2013-10-25,ESZ8,1659.75,1667.5,1654.5,1665.75,1253456,2731098,13.0,False
2013-10-28,ESZ8,1665.5,1674.0,1663.25,1670.75,1157924,2736038,10.75,False
2013-10-29,ESZ8,1670.75,1680.5,1666.25,1679.25,1189498,2741642,14.25,False
2013-10-30,ESZ8,1680.0,1685.0,1663.5,1672.25,1778748,2763150,21.5,False
2013-10-31,ESZ8,1669.5,1675.75,1662.0,1662.75,1885721,2745639,13.75,False
2013-11-01,ESZ8,1667.25,1673.0,1658.75,1666.5,1602379,2772579,14.25,False
2013-11-04,ESZ8,1665.75,1675.75,1665.0,1674.75,1005972,2759992,10.75,False
2013-11-05,ESZ8,1674.5,1675.75,1662.25,1668.25,1479362,2768514,13.5,False
2013-11-06,ESZ8,1669.0,1681.75,1667.5,1677.25,1322195,2767364,14.25,False
2013-11-07,ESZ8,1675.5,1686.25,1654.0,1657.0,2463701,2780995,32.25,False
2013-11-08,ESZ8,1656.5,1679.75,1648.25,1677.75,2071703,2782047,31.5,False
2013-11-11,ESZ8,1678.75,1682.0,1674.5,1679.25,960010,2780264,7.5,False
2013-11-12,ESZ8,1679.5,1681.5,1670.25,1676.75,1419105,2758394,11.25,False
2013-11-13,ESZ8,1676.5,1694.0,1666.0,1690.5,1682642,2763168,28.0,False
2013-11-14,ESZ8,1691.5,1700.75,1689.0,1699.5,1584763,2778941,11.75,False
2013-11-15,ESZ8,1699.5,1707.75,1698.25,1705.25,1227567,2821448,9.5,False
2013-11-18,ESZ8,1705.25,1711.5,1696.5,1700.5,1559073,2817239,15.0,False
2013-11-19,ESZ8,1701.25,1705.5,1693.75,1697.0,1587851,2817411,11.75,False
2013-11-20,ESZ8,1697.25,1706.0,1686.25,1691.5,2066306,2793119,19.75,False
2013-11-21,ESZ8,1691.25,1707.25,1687.5,1705.5,1390391,2799872,19.75,False
2013-11-22,ESZ8,1705.0,1715.0,1703.75,1713.0,1240120,2775739,11.25,False
2013-11-25,ESZ8,1713.75,1721.0,1710.25,1714.25,1114352,2800246,10.75,False
2013-11-26,ESZ8,1713.0,1718.75,1710.5,1713.75,1095564,2780581,8.25,False
